,Jahr,Kreis-Id, Stadt,Winterweizen,Roggen und Wintermenggetreide,Wintergerste,Sommergerste,Hafer,Triticale,Kartoffeln,Zuckerrüben,Winterraps,Silomais
249,2020,08236,"      Enzkreis, Landkreis","83,7",/,"60,4",/,/,/,/,/,"39,2","308,9"
250,2020,08237,"      Freudenstadt, Landkreis","86,7",/,"54,3","53,7","46,3",/,"420,3",-,"52,7",/
251,2020,08311,"      Freiburg im Breisgau, Stadtkreis",/,/,/,/,/,/,/,-,/,/
252,2020,08315,"      Breisgau-Hochschwarzwald, Landkreis","98,2",/,"53,7","51,4",/,/,"469,5",/,"46,1","249,6"
253,2020,08316,"      Emmendingen, Landkreis","78,9",/,/,/,/,"74,1",/,/,/,/
254,2020,08317,"      Ortenaukreis, Landkreis","83,4",/,"66,6","44,8","51,3","73,9",/,/,/,/
255,2020,08325,"      Rottweil, Landkreis","82,3",/,"62,9","68,4","51,5",/,/,/,"43,6","453,6"
256,2020,08326,"      Schwarzwald-Baar-Kreis, Landkreis","88,1",/,"61,5",/,/,/,/,/,/,"343,2"
257,2020,08327,"      Tuttlingen, Landkreis","78,6",/,"76,9","55,5",/,/,/,/,/,"438,4"
258,2020,08335,"      Konstanz, Landkreis","68,7",/,/,/,/,/,/,/,/,406
259,2020,08336,"      Lörrach, Landkreis",/,/,/,/,/,/,/,/,/,/
260,2020,08337,"      Waldshut, Landkreis","87,5",/,"67,7","59,3","48,2","84,6",/,/,/,455
261,2020,08415,"      Reutlingen, Landkreis","69,4",/,"62,3",54,"50,6","76,5","206,9",/,"36,9","350,3"
262,2020,08416,"      Tübingen, Landkreis","80,7",/,"53,7","59,4","57,2",/,/,/,"45,1",/
263,2020,08417,"      Zollernalbkreis, Landkreis","63,1",/,"52,3","57,4","50,7","59,6",/,-,/,"434,1"
264,2020,08421,"      Ulm, Stadtkreis",/,/,/,/,/,/,/,/,/,/
265,2020,08425,"      Alb-Donau-Kreis, Landkreis","85,7",/,"69,5","69,2",/,"95,5",/,"804,6","44,2","469,5"
266,2020,08426,"      Biberach, Landkreis","92,7",/,"73,5","70,4","76,4","74,2",/,/,"45,8","524,3"
267,2020,08435,"      Bodenseekreis, Landkreis","91,6",/,"72,1",/,/,/,/,/,/,/
268,2020,08436,"      Ravensburg, Landkreis","92,6",/,"79,7",/,"56,6","77,5",/,/,/,"478,2"
269,2020,08437,"      Sigmaringen, Landkreis","91,2",/,"75,1","77,1",70,/,/,/,"39,5",455
271,2019,08111,"      Stuttgart, Stadtkreis",/,/,/,/,/,/,"386,8","829,2",/,/
272,2019,08115,"      Böblingen, Landkreis","83,3",/,"69,2","67,5",/,/,/,"865,8","41,5",/
273,2019,08116,"      Esslingen, Landkreis","79,4",/,"69,3",/,/,/,/,/,/,531
274,2019,08117,"      Göppingen, Landkreis",79,/,"79,1",/,/,/,/,/,/,"525,2"
275,2019,08118,"      Ludwigsburg, Landkreis",76,/,"80,9","66,7","51,8",/,"313,5","782,6",/,"488,5"
276,2019,08119,"      Rems-Murr-Kreis, Landkreis","75,5",/,"70,6",/,"48,7","72,6","394,8","813,6","35,1","483,6"
277,2019,08121,"      Heilbronn, Stadtkreis",/,/,-,/,/,-,/,/,/,/
278,2019,08125,"      Heilbronn, Landkreis","79,1",/,"78,7","70,9",/,/,"352,6","846,3","33,6",487
279,2019,08126,"      Hohenlohekreis, Landkreis","74,9",/,"74,9","52,6","52,9",/,/,"823,8","35,4","469,1"
280,2019,08127,"      Schwäbisch Hall, Landkreis","82,5",/,"77,3","74,4",/,"75,8",/,778,"41,7","477,8"
281,2019,08128,"      Main-Tauber-Kreis, Landkreis","68,5","57,4","65,9","58,8","53,2","66,3","194,5","777,5","37,2","488,3"
282,2019,08135,"      Heidenheim, Landkreis","63,3",/,/,/,/,/,/,/,/,"459,5"
283,2019,08136,"      Ostalbkreis, Landkreis","77,7",/,"70,6",50,"32,7",/,/,/,"38,1","475,7"
284,2019,08211,"      Baden-Baden, Stadtkreis",/,/,/,/,/,/,/,-,-,-
285,2019,08212,"      Karlsruhe, Stadtkreis",/,/,/,/,/,/,/,/,-,-
286,2019,08215,"      Karlsruhe, Landkreis","71,7","59,7","71,9","60,1","44,8",/,"507,8","761,9","29,4",/
287,2019,08216,"      Rastatt, Landkreis","72,4",/,/,/,/,/,/,-,/,/
288,2019,08221,"      Heidelberg, Stadtkreis",/,-,/,/,/,-,/,/,/,/
289,2019,08222,"      Mannheim, Stadtkreis",/,/,/,/,/,-,/,/,/,/
290,2019,08225,"      Neckar-Odenwald-Kreis, Landkreis","70,1",/,"68,9","52,6","49,1",70,/,"774,1",36,"435,1"
291,2019,08226,"      Rhein-Neckar-Kreis, Landkreis","77,8","56,5","72,4","63,4","40,5",/,/,"794,2","32,7","502,4"
292,2019,08231,"      Pforzheim, Stadtkreis",/,/,/,-,/,/,/,-,-,/
293,2019,08235,"      Calw, Landkreis",/,/,/,"72,2",/,/,/,/,/,/
294,2019,08236,"      Enzkreis, Landkreis","76,7","50,3","77,5",/,/,/,/,/,"31,1","488,4"
295,2019,08237,"      Freudenstadt, Landkreis","85,5",/,"79,1","47,2","49,7","78,6","313,6",-,"41,3",592
296,2019,08311,"      Freiburg im Breisgau, Stadtkreis",/,/,-,/,/,/,/,-,/,/
297,2019,08315,"      Breisgau-Hochschwarzwald, Landkreis","87,6",/,"79,6","61,5",/,/,"498,4",-,"40,4",/
298,2019,08316,"      Emmendingen, Landkreis","80,7",/,/,/,/,/,/,-,/,/
299,2019,08317,"      Ortenaukreis, Landkreis","80,4",/,"75,3",58,/,"65,4",/,/,/,"321,7"
300,2019,08325,"      Rottweil, Landkreis","73,7",/,"78,8","53,2","48,6","78,5",/,-,42,"485,6"
301,2019,08326,"      Schwarzwald-Baar-Kreis, Landkreis","73,1",/,"70,1",/,/,/,/,/,/,"422,4"
302,2019,08327,"      Tuttlingen, Landkreis","81,7",/,"74,9","40,2","37,1",/,/,-,/,/
303,2019,08335,"      Konstanz, Landkreis","62,4",/,/,/,/,/,/,/,/,"454,6"
304,2019,08336,"      Lörrach, Landkreis",/,/,/,/,/,/,/,/,/,/
305,2019,08337,"      Waldshut, Landkreis","82,2",/,"72,4","57,6",44,"79,3",/,/,/,"489,6"
306,2019,08415,"      Reutlingen, Landkreis","63,8",/,"71,9",45,"44,8","65,2","214,4",/,"32,5","438,7"
307,2019,08416,"      Tübingen, Landkreis","73,6","66,5","81,8","69,3","55,8",/,/,/,"44,2",/
308,2019,08417,"      Zollernalbkreis, Landkreis","59,4",/,70,"54,1","43,3","62,9",/,-,/,"478,5"
309,2019,08421,"      Ulm, Stadtkreis",/,/,/,/,/,/,/,-,/,/
310,2019,08425,"      Alb-Donau-Kreis, Landkreis","76,4",/,"74,9","59,4","46,8","82,8",/,"741,5","38,3","504,9"
311,2019,08426,"      Biberach, Landkreis","83,2",/,"76,4","62,2","60,5","76,5",/,/,"37,1","511,8"
312,2019,08435,"      Bodenseekreis, Landkreis",85,/,70,/,/,/,/,/,/,/
313,2019,08436,"      Ravensburg, Landkreis","77,2",/,"69,5","49,8","47,7","68,9",/,/,/,"483,7"
314,2019,08437,"      Sigmaringen, Landkreis","82,9",/,"80,2","65,5","53,4",/,/,/,"34,2","394,5"
316,2018,08111,"      Stuttgart, Stadtkreis","78,9",-,/,/,/,/,"354,5","646,7",/,/
317,2018,08115,"      Böblingen, Landkreis",86,/,"66,9","70,4",/,/,/,/,"41,7",/
318,2018,08116,"      Esslingen, Landkreis","73,4",/,"65,7",/,"72,8",/,/,/,/,"370,4"
319,2018,08117,"      Göppingen, Landkreis","79,8",/,"74,1",/,/,/,/,/,/,"475,8"
320,2018,08118,"      Ludwigsburg, Landkreis","69,7",/,"70,6","64,1",60,/,"297,8","574,4",/,"393,9"
321,2018,08119,"      Rems-Murr-Kreis, Landkreis","69,6",/,"59,2","49,9","60,1","60,3","318,7",/,"40,2","444,2"
322,2018,08121,"      Heilbronn, Stadtkreis",/,/,-,/,/,/,/,/,/,/
323,2018,08125,"      Heilbronn, Landkreis","74,5",/,75,"64,1",/,/,"391,1","612,6","36,9","440,5"
324,2018,08126,"      Hohenlohekreis, Landkreis","68,7",/,"65,6","48,7","40,5","57,2",/,"628,1","37,3","397,4"
325,2018,08127,"      Schwäbisch Hall, Landkreis","74,4",/,"64,2","58,2","55,2","73,9",/,/,"37,8","457,9"
326,2018,08128,"      Main-Tauber-Kreis, Landkreis","66,4","68,1","63,1","55,4","54,2","55,4","139,2","583,4","31,8","427,3"
327,2018,08135,"      Heidenheim, Landkreis","76,5",/,/,/,/,/,/,/,/,"377,1"
328,2018,08136,"      Ostalbkreis, Landkreis",79,/,"68,4","42,8","46,4",/,/,/,"43,7","402,3"
329,2018,08211,"      Baden-Baden, Stadtkreis",/,/,/,/,/,/,/,-,-,/
330,2018,08212,"      Karlsruhe, Stadtkreis",/,/,/,/,/,/,/,-,-,/
331,2018,08215,"      Karlsruhe, Landkreis","66,9",57,"65,5",57,56,/,"416,3","570,8","34,2",/
332,2018,08216,"      Rastatt, Landkreis",67,/,/,/,/,/,/,-,/,/
333,2018,08221,"      Heidelberg, Stadtkreis",/,/,/,/,/,/,/,/,/,/
334,2018,08222,"      Mannheim, Stadtkreis",/,/,/,/,/,-,/,/,/,/
335,2018,08225,"      Neckar-Odenwald-Kreis, Landkreis","63,8",/,"61,2",52,"50,8","52,9",/,"462,8","32,5","397,6"
336,2018,08226,"      Rhein-Neckar-Kreis, Landkreis","76,1",/,"68,4","61,1","47,9",/,/,631,"36,9","415,9"
337,2018,08231,"      Pforzheim, Stadtkreis",/,-,/,-,/,/,-,-,-,/
338,2018,08235,"      Calw, Landkreis","83,1",/,/,/,/,/,"360,5",/,/,/
339,2018,08236,"      Enzkreis, Landkreis","80,4",/,"71,7",/,/,/,/,/,42,/
340,2018,08237,"      Freudenstadt, Landkreis","84,5",/,72,/,"39,1",/,"310,2",-,"43,9","525,2"
341,2018,08311,"      Freiburg im Breisgau, Stadtkreis",/,/,/,/,/,/,/,-,/,/
342,2018,08315,"      Breisgau-Hochschwarzwald, Landkreis","82,2",/,"66,6","59,3",/,/,"404,2",-,"37,9","287,8"
343,2018,08316,"      Emmendingen, Landkreis","86,3",/,/,/,/,/,/,/,-,/
344,2018,08317,"      Ortenaukreis, Landkreis","78,2",/,"76,8",/,/,"74,8",/,/,/,"361,6"
345,2018,08325,"      Rottweil, Landkreis","83,9",/,"75,6","54,6","52,9","91,7",/,-,"44,6","471,6"
346,2018,08326,"      Schwarzwald-Baar-Kreis, Landkreis","78,7",/,"65,4",/,/,/,/,/,/,/
347,2018,08327,"      Tuttlingen, Landkreis","71,9",/,"67,2","51,5",/,/,/,-,/,"440,7"
348,2018,08335,"      Konstanz, Landkreis",69,/,/,/,/,/,/,/,/,"460,7"
349,2018,08336,"      Lörrach, Landkreis",/,/,/,/,/,/,/,-,/,/
350,2018,08337,"      Waldshut, Landkreis","78,2",/,"68,2",50,"53,9","82,3",/,/,/,"411,8"
351,2018,08415,"      Reutlingen, Landkreis","70,6",/,"67,4","52,6","59,9","66,7","272,1",/,"38,4","349,3"
352,2018,08416,"      Tübingen, Landkreis","85,7",/,"77,8","60,5","59,8",/,/,/,"46,2",/
353,2018,08417,"      Zollernalbkreis, Landkreis","73,1",/,"66,6","46,6","57,7","69,6",/,-,"38,5",455
354,2018,08421,"      Ulm, Stadtkreis",/,/,/,/,/,/,/,/,/,/
355,2018,08425,"      Alb-Donau-Kreis, Landkreis","81,3",/,"68,3","57,6",/,"70,3",379,"654,6","41,4","451,6"
356,2018,08426,"      Biberach, Landkreis","87,3",/,"74,7","59,1","69,2","73,1",/,/,"42,1","454,7"
357,2018,08435,"      Bodenseekreis, Landkreis","81,2",/,"62,6",/,/,/,/,/,/,"465,4"
358,2018,08436,"      Ravensburg, Landkreis","84,7",/,"77,2",/,"65,5","81,7",/,/,/,"469,2"
359,2018,08437,"      Sigmaringen, Landkreis","85,9",/,"75,3","67,8","64,7",71,/,/,"40,6","443,1"
361,2017,08111,"      Stuttgart, Stadtkreis","71,6",-,/,/,/,-,/,"840,9",-,/
362,2017,08115,"      Böblingen, Landkreis","81,8",/,"70,5","66,1",/,/,/,"898,8","36,5",/
363,2017,08116,"      Esslingen, Landkreis","74,3",/,"72,7",/,/,/,/,-,/,"539,2"
364,2017,08117,"      Göppingen, Landkreis","82,2",/,"75,1",/,/,/,/,/,/,"544,2"
365,2017,08118,"      Ludwigsburg, Landkreis","68,6",/,"76,6","57,5",/,/,"405,5","866,4",/,"505,9"
366,2017,08119,"      Rems-Murr-Kreis, Landkreis",74,/,"73,9","69,3","44,2","63,1","414,8",/,/,"494,2"
367,2017,08121,"      Heilbronn, Stadtkreis",/,-,-,/,/,-,/,/,/,/
368,2017,08125,"      Heilbronn, Landkreis","79,6",/,"79,1","65,4",/,/,"454,7","918,5","37,5","516,2"
369,2017,08126,"      Hohenlohekreis, Landkreis","78,6",/,"74,1","54,6","42,5","56,4",/,"915,5","40,8","480,2"
370,2017,08127,"      Schwäbisch Hall, Landkreis","85,3",/,"78,9","68,6",/,"79,6",/,/,"38,7","471,8"
371,2017,08128,"      Main-Tauber-Kreis, Landkreis","72,9","73,5","72,1","57,3","45,6","66,1","330,9","868,8","38,7","523,8"
372,2017,08135,"      Heidenheim, Landkreis",59,/,/,/,/,/,/,/,/,"510,9"
373,2017,08136,"      Ostalbkreis, Landkreis","84,4",/,"80,4","50,7",/,/,/,/,40,504
374,2017,08211,"      Baden-Baden, Stadtkreis",/,/,/,/,-,-,/,-,-,-
375,2017,08212,"      Karlsruhe, Stadtkreis",/,/,/,/,/,/,/,-,-,/
376,2017,08215,"      Karlsruhe, Landkreis","65,9","53,7","67,4","56,8","39,9",/,"570,1","773,5","38,5",/
377,2017,08216,"      Rastatt, Landkreis",/,/,/,/,/,/,/,-,/,/
378,2017,08221,"      Heidelberg, Stadtkreis",/,-,/,/,-,-,/,/,/,/
379,2017,08222,"      Mannheim, Stadtkreis",/,-,/,/,/,-,/,/,/,/
380,2017,08225,"      Neckar-Odenwald-Kreis, Landkreis","74,7","56,9","66,8","55,8","47,8","66,5",/,"944,4","35,3","496,5"
381,2017,08226,"      Rhein-Neckar-Kreis, Landkreis",78,/,74,"63,1","54,7",/,/,"854,5","38,1","577,7"
382,2017,08231,"      Pforzheim, Stadtkreis",/,/,/,-,/,/,/,-,-,/
383,2017,08235,"      Calw, Landkreis","80,8",/,/,/,/,/,/,/,/,/
384,2017,08236,"      Enzkreis, Landkreis","77,8",/,"74,6",/,/,/,/,/,"42,8","433,2"
385,2017,08237,"      Freudenstadt, Landkreis","80,4",/,58,/,"41,3",/,"301,2",-,"42,4","352,8"
386,2017,08311,"      Freiburg im Breisgau, Stadtkreis",/,/,/,/,/,/,/,-,-,/
387,2017,08315,"      Breisgau-Hochschwarzwald, Landkreis",80,/,"71,7",52,/,/,"456,1",-,"28,1","335,8"
388,2017,08316,"      Emmendingen, Landkreis","82,6",/,/,/,/,/,/,-,-,/
389,2017,08317,"      Ortenaukreis, Landkreis","80,4",/,"69,5",/,"59,4","65,9",/,-,/,"342,4"
390,2017,08325,"      Rottweil, Landkreis","74,3",/,"69,7","44,6","41,3",/,/,-,"33,1","506,5"
391,2017,08326,"      Schwarzwald-Baar-Kreis, Landkreis","77,1",/,"70,1","45,7",/,/,/,/,/,/
392,2017,08327,"      Tuttlingen, Landkreis","71,3",/,/,/,"27,8",/,"493,9",-,/,"542,2"
393,2017,08335,"      Konstanz, Landkreis","61,2",/,/,/,/,/,/,/,/,"544,6"
394,2017,08336,"      Lörrach, Landkreis",/,/,/,/,/,/,/,-,/,/
395,2017,08337,"      Waldshut, Landkreis","77,6",/,"72,7","48,4","43,8","72,2",/,/,/,"441,9"
396,2017,08415,"      Reutlingen, Landkreis","66,4",/,"69,3","49,5","39,9","61,5","232,5",/,"34,8",350
397,2017,08416,"      Tübingen, Landkreis","80,8",/,/,/,/,/,/,/,/,/
398,2017,08417,"      Zollernalbkreis, Landkreis","67,2",/,"72,1","48,6","47,8",/,/,/,"34,5","433,1"
399,2017,08421,"      Ulm, Stadtkreis",/,/,/,/,-,/,/,-,/,/
400,2017,08425,"      Alb-Donau-Kreis, Landkreis","80,9",/,"74,4","52,8","50,4","75,5","420,5",/,"39,4","475,4"
401,2017,08426,"      Biberach, Landkreis","88,7",/,"77,1","55,1","53,2","70,9",/,/,"40,4","515,9"
402,2017,08435,"      Bodenseekreis, Landkreis","86,8",/,"77,2",/,/,/,/,-,/,"463,2"
403,2017,08436,"      Ravensburg, Landkreis","84,6",/,"76,4",/,"46,2","76,6",/,/,/,"492,2"
404,2017,08437,"      Sigmaringen, Landkreis","89,2",/,"77,5","59,1","46,4",/,/,/,"42,5","468,5"
406,2016,08111,"      Stuttgart, Stadtkreis","68,6",.,.,.,.,.,"463,7","797,9",.,.
407,2016,08115,"      Böblingen, Landkreis","73,6",.,"69,3","62,1",.,.,.,"751,8","40,1",.
408,2016,08116,"      Esslingen, Landkreis","63,1",.,"57,7",.,.,.,.,.,.,"426,2"
409,2016,08117,"      Göppingen, Landkreis","60,8",.,"60,6",.,.,.,.,.,.,469
410,2016,08118,"      Ludwigsburg, Landkreis","67,6",.,"62,5","48,8","48,9",.,"310,6","768,8",.,"458,2"
411,2016,08119,"      Rems-Murr-Kreis, Landkreis","61,9",.,59,.,43,"50,9","341,9","820,2","38,8","430,1"
412,2016,08121,"      Heilbronn, Stadtkreis",.,.,.,.,.,.,.,.,.,.
413,2016,08125,"      Heilbronn, Landkreis","71,1",.,"74,8",52,.,.,"408,1","830,4","38,1","471,2"
414,2016,08126,"      Hohenlohekreis, Landkreis","68,5",.,"70,2","40,2",.,"57,3",.,"754,7","41,2","455,7"
415,2016,08127,"      Schwäbisch Hall, Landkreis","76,1",.,"71,8","59,1",.,"62,5","278,2",.,"40,4","432,8"
416,2016,08128,"      Main-Tauber-Kreis, Landkreis","66,9","71,2","67,4","50,2","48,1",57,"231,2","754,4","37,7","383,1"
417,2016,08135,"      Heidenheim, Landkreis","60,2",.,"66,4",.,"35,7",.,.,.,.,"463,5"
418,2016,08136,"      Ostalbkreis, Landkreis","67,6",.,"70,1","44,9",.,.,.,.,"41,8","439,6"
419,2016,08211,"      Baden-Baden, Stadtkreis",.,.,.,.,.,.,.,.,.,.
420,2016,08212,"      Karlsruhe, Stadtkreis",.,.,.,.,.,.,.,.,.,.
421,2016,08215,"      Karlsruhe, Landkreis","58,5","53,5","70,1","41,5","43,1",.,...,"749,5","36,8",.
422,2016,08216,"      Rastatt, Landkreis","60,3",.,.,.,.,.,.,.,.,.
423,2016,08221,"      Heidelberg, Stadtkreis",.,.,.,.,.,.,.,.,.,.
424,2016,08222,"      Mannheim, Stadtkreis",.,.,.,.,.,.,.,.,.,.
425,2016,08225,"      Neckar-Odenwald-Kreis, Landkreis","63,5",.,"63,7","49,4","40,8","50,5",.,.,"37,4",439
426,2016,08226,"      Rhein-Neckar-Kreis, Landkreis","61,7","51,1","72,6","50,9",.,.,.,"794,2","37,8",484
427,2016,08231,"      Pforzheim, Stadtkreis",.,.,.,.,.,.,.,.,.,.
428,2016,08235,"      Calw, Landkreis","82,7",.,.,"70,3",.,.,"227,9",.,.,.
429,2016,08236,"      Enzkreis, Landkreis","66,2",.,"62,1",.,.,.,.,.,"36,3","423,1"
430,2016,08237,"      Freudenstadt, Landkreis","78,1",.,"70,6","43,8","47,6",57,"199,6",.,"44,2","429,6"
431,2016,08311,"      Freiburg im Breisgau, Stadtkreis",.,.,.,.,.,.,.,.,.,.
432,2016,08315,"      Breisgau-Hochschwarzwald, Landkreis","68,7",.,"81,9",.,.,.,"433,6",.,"40,4","262,9"
433,2016,08316,"      Emmendingen, Landkreis","56,2",.,.,.,.,.,.,.,.,.
434,2016,08317,"      Ortenaukreis, Landkreis","54,2",.,57,.,.,"35,6",.,.,.,.
435,2016,08325,"      Rottweil, Landkreis","69,5",.,"68,2","41,9","41,9",.,.,.,"37,1","396,5"
436,2016,08326,"      Schwarzwald-Baar-Kreis, Landkreis","67,5",.,"66,9","44,2",.,.,.,.,.,.
437,2016,08327,"      Tuttlingen, Landkreis","62,9",.,"74,4","28,8","47,1","51,6",.,.,.,"450,3"
438,2016,08335,"      Konstanz, Landkreis","51,2",.,"60,5",.,"41,2",.,.,.,"36,1","432,3"
439,2016,08336,"      Lörrach, Landkreis",.,.,.,.,.,.,.,.,.,.
440,2016,08337,"      Waldshut, Landkreis","60,8",.,"63,1","46,9","42,3","53,4",.,.,.,"409,3"
441,2016,08415,"      Reutlingen, Landkreis","58,7",.,"63,3","37,6","49,2","51,9","70,3",.,.,"329,1"
442,2016,08416,"      Tübingen, Landkreis","68,8",.,"76,7","51,4","43,3",.,.,.,"44,1",.
443,2016,08417,"      Zollernalbkreis, Landkreis","62,5",.,"61,1","42,4","44,1",.,.,.,.,412
444,2016,08421,"      Ulm, Stadtkreis",.,.,.,.,.,.,.,.,.,.
445,2016,08425,"      Alb-Donau-Kreis, Landkreis","71,1",.,"67,7","56,8","48,4","61,9","464,9","651,9","38,7","480,1"
446,2016,08426,"      Biberach, Landkreis","64,7",.,"64,1","44,7",51,43,.,.,"38,2","434,7"
447,2016,08435,"      Bodenseekreis, Landkreis","61,4",.,"69,4",.,.,.,.,.,.,.
448,2016,08436,"      Ravensburg, Landkreis","65,9",.,"64,3","47,5",.,"55,6",.,.,.,"384,6"
449,2016,08437,"      Sigmaringen, Landkreis","62,7",.,66,"49,6","47,4",.,.,.,"38,6","443,3"
451,2015,08111,"      Stuttgart, Stadtkreis",.,.,.,.,.,.,.,.,.,.
452,2015,08115,"      Böblingen, Landkreis","87,2",.,"72,1","63,6",.,.,.,"716,2","42,6",.
453,2015,08116,"      Esslingen, Landkreis","79,7",.,"65,6",.,.,.,.,.,.,"368,7"
454,2015,08117,"      Göppingen, Landkreis","79,9",.,"76,1",.,.,"68,8",.,.,.,"460,3"
455,2015,08118,"      Ludwigsburg, Landkreis","81,4",.,"70,7","60,5","48,7",.,"344,3","672,7",.,"417,7"
456,2015,08119,"      Rems-Murr-Kreis, Landkreis","72,8",.,"70,2","57,5","41,5","69,2","386,1","735,1",.,"398,8"
457,2015,08121,"      Heilbronn, Stadtkreis",.,.,.,.,.,.,.,.,.,.
458,2015,08125,"      Heilbronn, Landkreis","85,2",.,"74,5","67,5",.,.,.,"720,9","45,4","410,6"
459,2015,08126,"      Hohenlohekreis, Landkreis","81,2",.,"67,7","55,5","46,9","72,4",.,"629,6","41,2","394,4"
460,2015,08127,"      Schwäbisch Hall, Landkreis","83,9",.,"72,7","61,6","45,4","76,5",.,.,"40,7","390,2"
461,2015,08128,"      Main-Tauber-Kreis, Landkreis","64,8","54,1","57,4","49,9","40,9","53,2","194,2","574,8","40,1","321,4"
462,2015,08135,"      Heidenheim, Landkreis","68,8",.,"69,4",.,.,.,.,.,.,.
463,2015,08136,"      Ostalbkreis, Landkreis","85,2",.,"73,8","51,3",.,.,.,.,"47,7","399,9"
464,2015,08211,"      Baden-Baden, Stadtkreis",.,.,.,.,.,.,.,.,.,.
465,2015,08212,"      Karlsruhe, Stadtkreis",.,.,.,.,.,.,.,.,.,.
466,2015,08215,"      Karlsruhe, Landkreis","75,4","53,8","63,1","58,3","42,3",.,.,"681,1",42,.
467,2015,08216,"      Rastatt, Landkreis",.,.,.,.,.,.,.,.,.,.
468,2015,08221,"      Heidelberg, Stadtkreis",.,.,.,.,.,.,.,.,.,.
469,2015,08222,"      Mannheim, Stadtkreis",.,.,.,.,.,.,.,.,.,.
470,2015,08225,"      Neckar-Odenwald-Kreis, Landkreis","71,4",.,60,"47,2","46,4","67,4",.,.,"37,1","371,8"
471,2015,08226,"      Rhein-Neckar-Kreis, Landkreis","72,8","53,9","64,8","53,1","38,8",.,.,"733,7","38,2","432,1"
472,2015,08231,"      Pforzheim, Stadtkreis",.,.,.,.,.,.,.,.,.,.
473,2015,08235,"      Calw, Landkreis",82,.,.,.,.,.,244,.,.,.
474,2015,08236,"      Enzkreis, Landkreis",83,.,"70,5","53,5","51,3",.,.,.,"45,2","426,5"
475,2015,08237,"      Freudenstadt, Landkreis","75,7",.,"70,2","45,5","48,7",.,.,.,"42,6","361,5"
476,2015,08311,"      Freiburg im Breisgau, Stadtkreis",.,.,.,.,.,.,.,.,.,.
477,2015,08315,"      Breisgau-Hochschwarzwald, Landkreis","90,3",.,"78,4",.,.,.,"389,7",.,.,.
478,2015,08316,"      Emmendingen, Landkreis",.,.,.,.,.,.,.,.,.,.
479,2015,08317,"      Ortenaukreis, Landkreis",86,.,"72,6",.,.,70,.,.,.,.
480,2015,08325,"      Rottweil, Landkreis","70,5",.,"62,9","36,6","49,6",71,.,.,"37,6","349,4"
481,2015,08326,"      Schwarzwald-Baar-Kreis, Landkreis","78,3",.,"71,3","45,7",.,"64,7",.,.,.,.
482,2015,08327,"      Tuttlingen, Landkreis",65,.,"65,2","36,9","40,4",.,.,.,.,.
483,2015,08335,"      Konstanz, Landkreis",.,.,.,.,.,.,.,.,.,"416,1"
484,2015,08336,"      Lörrach, Landkreis",.,.,.,.,.,.,.,.,.,.
485,2015,08337,"      Waldshut, Landkreis","81,1",.,"65,5","48,9","43,6","77,8",.,.,.,"410,2"
486,2015,08415,"      Reutlingen, Landkreis","59,2",.,"59,7","45,6","46,2","61,4",154,.,.,"314,8"
487,2015,08416,"      Tübingen, Landkreis","74,7",.,.,"59,8",.,.,.,.,"45,7",.
488,2015,08417,"      Zollernalbkreis, Landkreis","60,5",.,"62,8","52,9","41,5",.,.,.,.,"334,6"
489,2015,08421,"      Ulm, Stadtkreis",.,.,.,.,.,.,.,.,.,.
490,2015,08425,"      Alb-Donau-Kreis, Landkreis","79,5",.,"67,8","56,1",.,"76,7","385,6",.,40,"381,3"
491,2015,08426,"      Biberach, Landkreis","85,8",.,"72,5","49,7","55,1","81,4",.,.,"37,3","409,3"
492,2015,08435,"      Bodenseekreis, Landkreis","81,7",.,"65,1",.,.,.,.,.,.,.
493,2015,08436,"      Ravensburg, Landkreis","78,7",.,"71,9",.,.,"76,7",.,.,.,"445,4"
494,2015,08437,"      Sigmaringen, Landkreis","80,1",.,"72,4","51,6","53,5",.,.,.,"39,7","391,5"
